ID,Time Stamp,Consolidating Function Type,Consolidating Time,Memory Items
14,22:52:25.426,Consolidating Function 1,0.0,5
15,22:52:27.030,Consolidating Function 1,0.0,5
16,22:52:28.676,Consolidating Function 1,0.0,5
17,22:52:31.163,Consolidating Function 1,0.0,5
18,22:52:32.953,Consolidating Function 1,0.0,5
19,22:52:34.683,Consolidating Function 1,0.0,5
20,22:53:00.056,Consolidating Function 1,0.499384,5
21,22:53:09.689,Consolidating Function 1,1.206844,6
22,22:53:12.544,Consolidating Function 1,0.0,6
23,22:53:14.060,Consolidating Function 1,0.0,6
24,22:53:15.997,Consolidating Function 1,0.0,6
25,22:53:17.653,Consolidating Function 1,0.0,6
26,22:53:19.187,Consolidating Function 1,0.0,6
27,22:53:21.523,Consolidating Function 1,0.0,6
28,22:53:22.884,Consolidating Function 1,0.0,6
29,22:53:24.323,Consolidating Function 1,0.0,6
30,22:53:26.270,Consolidating Function 1,0.0,6
31,22:53:27.865,Consolidating Function 1,0.0,6
32,22:53:30.040,Consolidating Function 1,0.0,6
33,22:53:31.938,Consolidating Function 1,0.0,6
34,22:53:33.233,Consolidating Function 1,0.0,6
35,22:53:55.042,Consolidating Function 1,0.213707,6
36,22:54:10.768,Consolidating Function 1,0.151124,7
37,22:54:12.409,Consolidating Function 1,0.0,7
38,22:54:39.771,Consolidating Function 1,0.165976,8
39,22:55:13.146,Consolidating Function 1,0.810812,9
40,22:55:59.562,Consolidating Function 1,1.435705,10
41,22:57:06.396,Consolidating Function 1,0.24061,11
42,22:57:11.558,Consolidating Function 1,0.0,11
43,22:57:15.866,Consolidating Function 1,0.0,11
44,22:57:20.315,Consolidating Function 1,0.0,11
45,23:00:22.636,Consolidating Function 1,0.240724,11
46,23:02:21.304,Consolidating Function 1,0.250169,12
47,23:02:31.362,Consolidating Function 1,0.0,12
48,23:02:37.765,Consolidating Function 1,0.0,12
ID,Time Stamp,Consolidating Function Type,Consolidating Time,Memory Items
2,23:08:35.787,Consolidating Function 1,0.0,0
3,23:08:36.784,Consolidating Function 1,0.0,0
4,23:08:37.780,Consolidating Function 1,0.0,0
5,23:08:38.770,Consolidating Function 1,0.0,0
6,23:08:39.803,Consolidating Function 1,0.0,0
7,23:08:40.773,Consolidating Function 1,0.0,0
8,23:08:41.780,Consolidating Function 1,0.0,0
9,23:08:42.795,Consolidating Function 1,0.0,0
10,23:08:43.776,Consolidating Function 1,0.0,0
11,23:08:44.785,Consolidating Function 1,0.0,0
12,23:08:45.786,Consolidating Function 1,0.0,0
13,23:08:46.792,Consolidating Function 1,0.0,0
14,23:08:47.781,Consolidating Function 1,0.0,0
15,23:08:48.789,Consolidating Function 1,0.0,0
16,23:08:50.766,Consolidating Function 1,2.554294,1
17,23:08:52.461,Consolidating Function 1,0.128904,2
18,23:08:53.646,Consolidating Function 1,0.0,2
19,23:08:56.164,Consolidating Function 1,0.087627,3
20,23:08:57.542,Consolidating Function 1,0.0,3
21,23:09:01.829,Consolidating Function 1,0.112939,4
22,23:09:03.425,Consolidating Function 1,0.0,4
23,23:09:04.856,Consolidating Function 1,0.0,4
24,23:09:06.340,Consolidating Function 1,0.0,4
25,23:09:08.009,Consolidating Function 1,0.0,4
26,23:09:11.894,Consolidating Function 1,0.0,4
27,23:09:16.155,Consolidating Function 1,0.0,4
28,23:09:19.421,Consolidating Function 1,0.0,4
29,23:09:21.509,Consolidating Function 1,0.0,4
30,23:09:23.744,Consolidating Function 1,0.0,4
