ID,Time Stamp,Encoding Time,Memory Items,Learning Loop?,Forgetting Loop?
19,22:52:34.683,1710.656024,5,false,false
20,22:53:00.056,4426.003505,5,true,true
21,22:53:09.689,1438.747936,6,true,false
22,22:53:12.544,2819.509029,6,false,false
23,22:53:14.060,1507.279791,6,false,false
24,22:53:15.997,1921.131571,6,false,false
25,22:53:17.653,1628.404547,6,false,false
26,22:53:19.187,1518.547715,6,false,false
27,22:53:21.523,2321.232907,6,false,false
28,22:53:22.884,1344.852618,6,false,false
29,22:53:24.323,1423.405966,6,false,false
30,22:53:26.270,1919.611467,6,false,false
31,22:53:27.865,1584.505917,6,false,false
32,22:53:30.040,2163.494426,6,false,false
33,22:53:31.938,1879.987774,6,false,false
34,22:53:33.233,1286.849937,6,false,false
35,22:53:55.042,1288.332858,6,true,true
36,22:54:10.768,1667.933219,7,true,false
37,22:54:12.409,1632.036352,7,false,false
38,22:54:39.771,3804.136159,8,true,false
39,22:55:13.146,2799.891524,9,true,false
40,22:55:59.562,3199.722966,10,true,false
41,22:57:06.396,4740.154525,11,true,false
42,22:57:11.558,5147.795282,11,false,false
43,22:57:15.866,4293.932442,11,false,false
44,22:57:20.315,4435.388172,11,false,false
45,23:00:22.636,4427.958206,11,true,true
46,23:02:21.304,5131.470298,12,true,false
47,23:02:31.362,9683.546191,12,false,false
48,23:02:37.765,6371.26215,12,false,false
ID,Time Stamp,Encoding Time,Memory Items,Learning Loop?,Forgetting Loop?
2,23:08:35.787,14.594929,0,false,false
3,23:08:36.784,0.969901,0,false,false
4,23:08:37.780,8.972685,0,false,false
5,23:08:38.770,8.561116,0,false,false
6,23:08:39.803,0.577368,0,false,false
7,23:08:40.773,0.531051,0,false,false
8,23:08:41.780,0.510236,0,false,false
9,23:08:42.795,0.594168,0,false,false
10,23:08:43.776,2.258135,0,false,false
11,23:08:44.785,7.036263,0,false,false
12,23:08:45.786,0.579462,0,false,false
13,23:08:46.792,8.146746,0,false,false
14,23:08:47.781,0.47305,0,false,false
15,23:08:48.789,0.686802,0,false,false
16,23:08:50.766,803.077714,1,true,false
17,23:08:52.461,1373.681332,2,true,false
18,23:08:53.646,1166.474259,2,false,false
19,23:08:56.164,1155.987934,3,true,false
20,23:08:57.542,1360.912321,3,false,false
21,23:09:01.829,1222.980437,4,true,false
22,23:09:03.425,1555.864126,4,false,false
23,23:09:04.856,1404.33037,4,false,false
24,23:09:06.340,1472.146216,4,false,false
25,23:09:08.009,1638.936101,4,false,false
26,23:09:11.894,3868.838476,4,false,false
27,23:09:16.155,4217.448524,4,false,false
28,23:09:19.421,3220.808168,4,false,false
29,23:09:21.509,2045.619704,4,false,false
30,23:09:23.744,2215.517581,4,false,false
31,23:09:25.175,1418.518085,4,false,false
32,23:09:26.543,1357.368064,4,false,false
