ID,Time Stamp,Storing Time,Memory Items,Learning Loop?,Forgetting Loop?
42,22:57:11.558,0.48616,11,false,false
43,22:57:15.866,0.836562,11,false,false
44,22:57:20.315,0.371788,11,false,false
45,23:00:22.636,94841.419179,11,true,true
46,23:02:21.304,113508.483081,12,true,false
47,23:02:31.362,0.817726,12,false,false
48,23:02:37.765,2.014357,12,false,false
ID,Time Stamp,Storing Time,Memory Items,Learning Loop?,Forgetting Loop?
2,23:08:35.787,0.126742,0,false,false
3,23:08:36.784,0.105741,0,false,false
4,23:08:37.780,0.078863,0,false,false
5,23:08:38.770,0.077495,0,false,false
6,23:08:39.803,0.129598,0,false,false
7,23:08:40.773,0.083873,0,false,false
8,23:08:41.780,0.146266,0,false,false
9,23:08:42.795,0.826519,0,false,false
10,23:08:43.776,0.082762,0,false,false
11,23:08:44.785,0.089431,0,false,false
12,23:08:45.786,0.091816,0,false,false
13,23:08:46.792,0.088983,0,false,false
14,23:08:47.781,0.084222,0,false,false
15,23:08:48.789,0.088985,0,false,false
16,23:08:50.766,127.413869,1,true,false
17,23:08:52.461,293.615104,2,true,false
18,23:08:53.646,1.897759,2,false,false
19,23:08:56.164,1341.788458,3,true,false
20,23:08:57.542,5.427838,3,false,false
21,23:09:01.829,3053.449537,4,true,false
22,23:09:03.425,14.993179,4,false,false
23,23:09:04.856,10.297695,4,false,false
24,23:09:06.340,1.083458,4,false,false
25,23:09:08.009,14.161442,4,false,false
26,23:09:11.894,2.525291,4,false,false
27,23:09:16.155,16.616886,4,false,false
28,23:09:19.421,2.209834,4,false,false
29,23:09:21.509,14.039943,4,false,false
30,23:09:23.744,2.677796,4,false,false
31,23:09:25.175,3.442749,4,false,false
32,23:09:26.543,2.715581,4,false,false
33,23:09:38.592,5513.572741,4,true,true
34,23:09:46.877,6063.971398,5,true,false
35,23:09:49.925,10.427571,5,false,false
36,23:09:52.033,1.985403,5,false,false
37,23:09:54.022,0.452344,5,false,false
38,23:09:55.754,0.232106,5,false,false
39,23:09:57.618,1.166792,5,false,false
40,23:09:59.732,0.263274,5,false,false
41,23:10:00.960,6.783913,5,false,false
42,23:10:02.127,0.214255,5,false,false
43,23:10:03.400,4.304206,5,false,false
44,23:10:05.848,0.411215,5,false,false
45,23:10:07.515,0.200241,5,false,false
46,23:10:09.145,0.188804,5,false,false
47,23:10:21.830,7370.568254,5,true,true
48,23:10:34.250,10007.050203,6,true,false
49,23:10:35.609,0.320484,6,false,false
50,23:10:51.850,12955.405601,7,true,false
51,23:10:55.286,0.241476,7,false,false
52,23:11:23.017,24429.402138,8,true,false
53,23:12:03.535,36841.297772,9,true,false
54,23:12:58.871,51648.615709,10,true,false
55,23:13:03.573,0.553126,10,false,false
56,23:13:08.275,2.033689,10,false,false
57,23:13:13.087,0.339138,10,false,false
58,23:16:10.590,104553.732314,10,true,true
59,23:17:55.880,99694.594599,11,true,false
60,23:18:02.891,0.718416,11,false,false
61,23:18:09.217,5.271899,11,false,false
62,23:20:43.845,148102.00972,12,true,false
63,23:20:51.191,0.928417,12,false,false
64,23:20:58.696,1.76604,12,false,false
65,23:21:10.520,7.207202,12,false,false
66,23:21:17.680,0.63871,12,false,false
